method,policy,traffic_scenario,load_name,n_episodes,accepted_mean,accepted_std,blocking_rate_mean,blocking_rate_std,reward_per_request_mean,reward_per_request_std,energy_mean,fragmentation_mean,qot_mean,mean_latency_ms,p95_latency_ms,avg_topn_index,p95_topn_index
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,uniform,low,5,642.4,5.366563145999495,0.14346666666666663,0.007155417527999321,0.7801750399219691,0.008701621818772856,616.9956776491712,0.2560953262481839,0.25807055933694323,2.8024399761110543,5.4152013547718525,2.184647820911528,8.4
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,uniform,medium,5,573.2,6.058052492344384,0.2357333333333333,0.00807740332312582,0.6854674132758081,0.008029086827019988,581.5015569268965,0.31263050567046446,0.2613678497585747,2.4758720503499108,5.051240604370831,2.0082374261406635,7.6
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,uniform,high,5,476.6,12.660963628413123,0.36453333333333326,0.01688128483788414,0.5462914666200478,0.01813947239004928,561.7290778025078,0.3379885769348342,0.2640113488790622,2.123453812797864,4.433888834901153,1.6997983583989709,7.6
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,uniform,overload,5,417.2,23.220680437919988,0.4437333333333333,0.03096090725055998,0.4627254399612447,0.03427197047467104,537.2641860749434,0.342287333503985,0.27236378828167973,2.030781277144949,4.449602952226995,1.9113434806528518,8.4
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,hotspot,low,5,638.0,12.328828005937952,0.14933333333333332,0.016438437341250587,0.7843092265874148,0.0176309756670701,568.5824951494394,0.2785434900404177,0.2658497380565391,2.8855056663354235,5.697501716203988,2.425079420782387,10.0
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,hotspot,medium,5,569.6,22.412050330123748,0.24053333333333332,0.02988273377349832,0.6879806399418711,0.034063076746337316,542.5945818563465,0.3245656281716174,0.2702598095708153,2.515496796866258,5.154163413681088,2.217165270610205,9.0
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,hotspot,high,5,492.4,8.294576541331088,0.3434666666666667,0.011059435388441455,0.5774607999619346,0.01369043066679794,529.9148679814301,0.34407406110426353,0.2693013197564628,2.263918628171086,4.980902108363806,2.180378251377326,9.4
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,hotspot,overload,5,409.8,11.713240371477058,0.45359999999999995,0.01561765382863609,0.4586833599627912,0.01740533366918496,488.92061846084425,0.35511065268645775,0.28255750086321485,1.9638296979169052,4.140688925981522,1.7997456439178463,7.2
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,nonuniform,low,5,596.6,14.536161804272817,0.2045333333333333,0.01938154907236373,0.7092933332613607,0.021763494157207356,657.68163373729,0.26773541682827917,0.2535990470442616,2.5403530926754074,5.082842134870588,1.908614851632897,7.4
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,nonuniform,medium,5,519.6,12.798437404620925,0.30720000000000003,0.017064583206161242,0.6028041599416236,0.019603907111735375,613.6692596036571,0.30188359553056754,0.26612660093475415,2.2538452342152597,4.865164039656519,1.8764792809288722,7.6
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,nonuniform,high,5,433.6,16.379865689315036,0.42186666666666667,0.0218398209190867,0.4812697066246569,0.023485755384023366,587.5084781738524,0.34349758108258777,0.2707555312413828,1.958262212326129,4.252634942531586,1.6613213920580656,6.8
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,nonuniform,overload,5,351.8,7.293833011524187,0.5309333333333334,0.009725110682032254,0.36400954662969703,0.010801315498868692,559.9141396089344,0.30955574297916977,0.2681555212384062,1.7215445924550294,3.783577629365026,1.421048065199921,6.0
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,bursty,low,5,623.0,11.445523142259598,0.1693333333333333,0.015260697523012791,0.7526075199215908,0.01629306756741213,610.7739425988377,0.23783952703749395,0.2570519824196662,2.754652205978831,5.408802614547311,2.161396748875013,8.0
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,bursty,medium,5,561.2,23.252956801232827,0.2517333333333333,0.03100394240164379,0.6670855999423664,0.03502204947190486,589.4399634348235,0.2980343374231954,0.25562805918779075,2.4569306199749312,5.042643249034882,1.9867391425203706,7.6
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,bursty,high,5,473.8,5.674504383644442,0.36826666666666663,0.007566005844859266,0.5422620266118645,0.0073677377703021095,565.2134251527293,0.314223799429052,0.2645704632932998,2.197123342007399,4.808870954439044,1.896403875929814,8.2
Calibrated DQN-Override baseline ranker,torch_dqn_candidate_ranker_distill_old10,bursty,overload,5,410.4,11.326958991715296,0.4528,0.015102611988953742,0.4518893866286874,0.01731262865004351,536.1050437316218,0.32222153713584956,0.2734164664470707,1.9698477995892365,4.129860112443566,1.6354777788895316,6.6
LightGBM-override ranker,lightgbm_candidate_ranker_old10,uniform,low,5,644.0,6.0,0.14133333333333328,0.007999999999999986,0.782008746590366,0.008864229909180862,617.6516367347127,0.2694390614248966,0.26152156582050085,2.5014768441518145,5.072262240573764,2.3763354780509065,8.6
LightGBM-override ranker,lightgbm_candidate_ranker_old10,uniform,medium,5,568.8,8.5848704125339,0.24159999999999995,0.011446493883378534,0.6780363732792933,0.01270484036926803,580.3731499842095,0.32155066795085324,0.26772272644220674,2.1757500020166236,4.664517953060566,2.1532213350530824,8.6
LightGBM-override ranker,lightgbm_candidate_ranker_old10,uniform,high,5,481.4,9.01665126307988,0.3581333333333333,0.012022201684106492,0.5523991999592085,0.013299976594356567,564.0100102479536,0.3466427553333764,0.26673403416775665,1.9065683770924806,4.000698719173668,1.7973670642983925,7.2
LightGBM-override ranker,lightgbm_candidate_ranker_old10,uniform,overload,5,421.4,24.673872821265817,0.4381333333333333,0.03289849709502107,0.4685524266289572,0.03637890835505641,536.1794658501824,0.3694853570844484,0.2730203158106258,1.8282833555092413,3.9320928184315553,1.9675060358358358,8.0
LightGBM-override ranker,lightgbm_candidate_ranker_old10,hotspot,low,5,631.0,9.924716620639604,0.15866666666666668,0.013232955494186129,0.7730199466052055,0.013653722103444114,571.8337687382138,0.3017456608907968,0.2696557678599632,2.52655130935212,5.328286509029566,2.562774714277313,9.8
LightGBM-override ranker,lightgbm_candidate_ranker_old10,hotspot,medium,5,569.2,21.347130954767668,0.24106666666666662,0.028462841273023554,0.6860756266111135,0.03298147819141745,548.2585362679515,0.34059965004511134,0.27447921878038467,2.2296113251398006,4.694488109089433,2.361297589393433,9.0
LightGBM-override ranker,lightgbm_candidate_ranker_old10,hotspot,high,5,491.4,4.219004621945797,0.34479999999999994,0.005625339495927726,0.5753713599558373,0.007656817933536351,529.2920032801612,0.37927418456884776,0.27113546707592645,2.0090553843726715,4.3852491350844485,2.116875330471919,8.6
LightGBM-override ranker,lightgbm_candidate_ranker_old10,hotspot,overload,5,408.6,14.328293687665674,0.45519999999999994,0.01910439158355422,0.4570850133034289,0.021463662090406115,487.8079572856923,0.37336111390116067,0.28287218918360896,1.794902466982603,3.764950917102395,1.9068070627955485,7.6
LightGBM-override ranker,lightgbm_candidate_ranker_old10,nonuniform,low,5,591.8,14.23727502017152,0.21093333333333328,0.01898303336022869,0.7016222932501037,0.021306863119989593,658.2255286215848,0.2810898268976062,0.2565210076277239,2.2493021681904795,4.732990702614186,2.124544125401483,8.0
LightGBM-override ranker,lightgbm_candidate_ranker_old10,nonuniform,medium,5,517.2,18.019433953373785,0.31039999999999995,0.024025911937831705,0.5986278399450283,0.026863976988282783,615.6157838589667,0.32415576741881963,0.2672123436445673,1.9777510619411864,4.30745688267052,1.961929284457792,7.8
LightGBM-override ranker,lightgbm_candidate_ranker_old10,nonuniform,high,5,427.6,20.305171754998774,0.4298666666666667,0.02707356233999836,0.4727403732932706,0.02874068495323906,583.124633451994,0.35414529246287174,0.2690627499153042,1.7651686316976942,3.87385903391987,1.7462009193762547,7.4
LightGBM-override ranker,lightgbm_candidate_ranker_old10,nonuniform,overload,5,359.2,10.756393447619887,0.5210666666666667,0.014341857930159855,0.3748788266322811,0.01575027311949553,558.8758468852654,0.3432776609328534,0.2687825254655062,1.606246375540892,3.4758654423058024,1.610239154737989,6.6
LightGBM-override ranker,lightgbm_candidate_ranker_old10,bursty,low,5,622.4,8.111719916269298,0.1701333333333333,0.010815626555025725,0.75107029325219,0.011678833538946987,612.6228061403508,0.24752594982126097,0.2601881094497608,2.473373333613078,4.98812275473028,2.3304884210526318,8.0
LightGBM-override ranker,lightgbm_candidate_ranker_old10,bursty,medium,5,552.0,25.39685019840059,0.26399999999999996,0.03386246693120079,0.6525915732792515,0.03780531171477536,588.0262259438915,0.3091473203273359,0.26513678213009345,2.1557585691412293,4.613143736496566,2.130882276692137,8.4
LightGBM-override ranker,lightgbm_candidate_ranker_old10,bursty,high,5,483.2,7.224956747275377,0.35573333333333335,0.009633275663033835,0.5558163199566801,0.010129446332999637,563.6659793740153,0.3521201445116343,0.264728055870448,1.9976446899274982,4.309716019779442,2.0755626112797656,8.8
LightGBM-override ranker,lightgbm_candidate_ranker_old10,bursty,overload,5,410.4,19.932385707686876,0.4528,0.02657651427691582,0.452185919965734,0.029884871048375988,533.2726124118283,0.36508177915931195,0.2734841955421431,1.784628129626314,3.7192575400695196,1.881980631052278,7.6
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,uniform,low,5,640.6,11.970797801316333,0.14586666666666664,0.015961063735088477,0.7777869332391918,0.018127457219294745,617.020378090388,0.2668800828584475,0.25502444795354656,6.23918489937981,9.267938970588144,1.9788819402754814,7.8
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,uniform,medium,5,577.6,6.024948132556827,0.2298666666666666,0.008033264176742442,0.6912916799347003,0.00871585666973355,583.5600465195014,0.30826936814389516,0.2584039189553197,5.506382426495353,8.937674150802192,1.7986630755476825,7.6
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,uniform,high,5,478.0,9.617692030835672,0.36266666666666664,0.012823589374447547,0.5473710399464469,0.013111641210970417,568.6359017382761,0.3300805813057189,0.26304845171346003,4.602544468020399,8.188674086704848,1.5341620467390509,7.0
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,uniform,overload,5,417.6,21.4546032356695,0.4431999999999999,0.028606137647559354,0.463569546627124,0.03157273317949914,533.3113016389182,0.331104233237469,0.268930678439249,4.207901772732536,8.224722910672426,1.625469346508354,6.8
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,hotspot,low,5,633.6,3.2093613071762426,0.15519999999999995,0.0042791484095683315,0.7771410132459203,0.005253701537648093,572.1186292740069,0.28370757142811664,0.26648254370079855,6.158717592681448,9.55233118031174,2.284341915589061,9.0
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,hotspot,medium,5,569.0,18.920887928424502,0.24133333333333332,0.02522785057123267,0.6868676266064544,0.029268073996066273,543.4851743334297,0.34129397880739665,0.27145226531195094,5.489245650420587,8.953212895430624,1.9721498856410655,8.6
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,hotspot,high,5,481.4,13.501851724856113,0.3581333333333333,0.018002468966474824,0.5614869332831403,0.020023176592743355,526.5094470079708,0.34155141536409533,0.26701250894497164,4.718515519052744,8.550561605952677,1.7551626070779378,7.6
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,hotspot,overload,5,415.2,25.163465580082566,0.4464,0.03355128744011009,0.4666491199578345,0.03717595583127579,492.18086849737966,0.3631536102839604,0.27460751338768424,4.165252988661329,7.953190486878157,1.5911896110004293,6.8
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,nonuniform,low,5,595.4,9.813256340277675,0.20613333333333334,0.013084341787036909,0.7072054932346244,0.015668537374601662,659.5877790707775,0.26247912239284793,0.2521946268933749,5.621299683426817,8.844652599655092,1.692831492840768,6.6
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,nonuniform,medium,5,506.8,16.23884232326923,0.32426666666666665,0.021651789764359015,0.5841297065991362,0.024663548956537037,615.9232691393091,0.30995009002369245,0.2629584421740762,4.821988429998358,8.490456007421017,1.6155770126730122,7.2
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,nonuniform,high,5,423.0,19.44222209522358,0.43599999999999994,0.025922962793631443,0.4661706666154165,0.027339426740367403,583.0916571425529,0.3187576783395908,0.26964392633521383,4.172703123465181,8.157168761827052,1.5283677923433145,7.0
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,nonuniform,overload,5,367.2,11.278297743897348,0.5104,0.015037730325196478,0.3862311999589304,0.016385692789861364,565.3718843896668,0.3239544695023668,0.2648821684162383,3.7069772941370807,7.614488941617308,1.3795592770711924,6.0
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,bursty,low,5,621.0,12.98075498574717,0.172,0.017307673314329544,0.7496729599082866,0.018589949162217442,613.0176233317702,0.23877797091365421,0.25665974642869005,5.986453366527955,9.218210577964781,1.9369591698871538,7.4
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,bursty,medium,5,554.4,18.849403173575553,0.2608,0.02513253756476741,0.6565514132663507,0.028010695755303933,589.769803834356,0.2942407256779275,0.25705035282257827,5.306294376651445,8.915637680329382,1.8780285569832267,8.0
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,bursty,high,5,481.0,9.0,0.3586666666666666,0.011999999999999995,0.5527188266142706,0.012658113105314676,564.6762841047051,0.32652621466881687,0.26396721500188386,4.71614354501168,8.63268870394677,1.7092840207589688,7.2
GNN-CNN Full DQN Ranker,gnn_cnn_dqn,bursty,overload,5,412.8,8.927485648266257,0.44960000000000006,0.01190331419768835,0.4560651732903917,0.014029172259111763,532.9958257927025,0.3335420232070304,0.27022407202004406,4.132464939231674,7.924846354871988,1.4819063850950456,6.4
XLRON Counterfactual Ranker,top32_xlron_stabilized_ppo,uniform,low,5,646.4,7.092249290598858,0.1381333333333333,0.009456332387465115,0.7857231999094189,0.010190363474648257,618.8310860286125,0.2593824115210889,0.2568342437078872,5.917494492356977,8.937306432053447,1.9182050642295305,8.0
XLRON Counterfactual Ranker,top32_xlron_stabilized_ppo,uniform,medium,5,573.4,5.770615218501403,0.23546666666666657,0.007694153624668534,0.6853685865942936,0.008577126010883148,580.9748182634831,0.30955745784842176,0.2613250820093066,5.203378809615969,8.555502500385046,1.807502450842086,8.2
XLRON Counterfactual Ranker,top32_xlron_stabilized_ppo,uniform,high,5,474.4,13.501851724856113,0.3674666666666666,0.018002468966474824,0.5424240532805423,0.019668102593082232,564.8410618819405,0.3343791337790309,0.2648587366892988,4.396524463097254,7.87947507109493,1.5094067855589455,6.2
XLRON Counterfactual Ranker,top32_xlron_stabilized_ppo,uniform,overload,5,414.6,25.095816384409574,0.44719999999999993,0.033461088512546096,0.45906661329002174,0.03719974027766198,532.4678825052226,0.3351101904513948,0.2703171332307819,3.9992211016515897,7.796636740677057,1.591144793486547,7.0
XLRON Counterfactual Ranker,top32_xlron_stabilized_ppo,hotspot,low,5,631.0,6.782329983125268,0.15866666666666665,0.009043106644167038,0.7737493865864078,0.010136732351465628,568.7012003499634,0.30003031754981957,0.26850913189325915,5.804608503729105,9.157615094445646,2.22022777412846,9.0
XLRON Counterfactual Ranker,top32_xlron_stabilized_ppo,hotspot,medium,5,565.4,18.283872675120005,0.24613333333333332,0.02437849690016004,0.6820748799398044,0.028276112277406545,541.4884803598977,0.3356004837409356,0.27055467694936813,5.208469458917778,8.68885051459074,2.0457480032574806,8.2
XLRON Counterfactual Ranker,top32_xlron_stabilized_ppo,hotspot,high,5,485.2,7.694153624668537,0.3530666666666667,0.010258871499558049,0.5668917866208851,0.011423298319585109,525.6933191604297,0.34420243874633494,0.27107014333020774,4.5339265581220385,8.201800589449704,1.7708201290195518,7.6
XLRON Counterfactual Ranker,top32_xlron_stabilized_ppo,hotspot,overload,5,415.4,20.255863348670182,0.4461333333333333,0.02700781779822691,0.46687519996080795,0.030129956317441253,491.55587854155993,0.35618319332897636,0.27690801700043854,3.9797726329416028,7.646404886618257,1.5560810076010423,6.4
XLRON Counterfactual Ranker,top32_xlron_stabilized_ppo,nonuniform,low,5,589.2,17.852170736355845,0.21439999999999998,0.023802894315141127,0.698605333235701,0.026636925045967992,655.5453840927646,0.2733246850998472,0.2533103335320037,5.341114613165457,8.733543567359446,1.8314140657763054,7.8
XLRON Counterfactual Ranker,top32_xlron_stabilized_ppo,nonuniform,medium,5,510.8,14.342245291445828,0.3189333333333333,0.019122993721927762,0.5899542932660282,0.021383452492762946,617.1447609661252,0.31512942896987967,0.2635790320304095,4.658178002263109,8.317690375261005,1.7034402111854683,7.6
XLRON Counterfactual Ranker,top32_xlron_stabilized_ppo,nonuniform,high,5,434.0,14.696938456699069,0.4213333333333333,0.019595917942265412,0.481935733280609,0.02009566093323007,585.4854973454919,0.33903330667313936,0.26889098474903894,4.079937240108848,7.722239177674053,1.5044419493039467,6.0
XLRON Counterfactual Ranker,top32_xlron_stabilized_ppo,nonuniform,overload,5,362.4,13.575713609236164,0.5167999999999999,0.01810095147898157,0.3797540799632668,0.019397797825837077,558.593858190224,0.33560515304162475,0.2676105383695028,3.5308176750938096,7.439038455486296,1.418368879766462,6.0
