policy,policy_name,metric,episodes,mean,std,ci95_low,ci95_high
energy-aware-ksp-bm-ff,Energy-Aware-KSP-BM-FF,accepted,80,506.0875,85.77453426191308,487.2913264438938,524.8836735561061
energy-aware-ksp-bm-ff,Energy-Aware-KSP-BM-FF,blocking_rate,80,0.3252166666666666,0.11436604568255078,0.3001551019251917,0.3502782314081415
energy-aware-ksp-bm-ff,Energy-Aware-KSP-BM-FF,mean_reward,80,0.5895052132658363,0.12287365236868322,0.562579337010511,0.6164310895211615
energy-aware-ksp-bm-ff,Energy-Aware-KSP-BM-FF,mean_selected_energy_increment,80,562.3054626268311,37.92186957462356,553.9954665629626,570.6154586906995
energy-aware-ksp-bm-ff,Energy-Aware-KSP-BM-FF,mean_selected_fragmentation_after,80,0.37998550530408687,0.033053538236498495,0.37274232938150437,0.38722868122666937
energy-aware-ksp-bm-ff,Energy-Aware-KSP-BM-FF,mean_selected_qot_margin_norm,80,0.26287696165004104,0.008756977148755882,0.2609580044242021,0.26479591887588
energy-aware-ksp-bm-ff,Energy-Aware-KSP-BM-FF,mean_decision_latency_ms,80,1.8057476359031472,0.22371839023877418,1.7567231821208562,1.8547720896854383
energy-aware-ksp-bm-ff,Energy-Aware-KSP-BM-FF,p95_decision_latency_ms,80,3.948051047045736,0.5225833500855626,3.833534921365049,4.062567172726423
energy-aware-ksp-bm-ff,Energy-Aware-KSP-BM-FF,mean_selected_topn_index,80,2.517957518264403,0.4413244738229345,2.421248028951367,2.614667007577439
energy-aware-ksp-bm-ff,Energy-Aware-KSP-BM-FF,p95_selected_topn_index,80,9.6,1.489201638122703,9.273664302685452,9.926335697314547
gnn_cnn_a3c,A3C Policy Distilled from Full DQN,accepted,80,509.025,89.627213176424,489.3845709529578,528.6654290470422
gnn_cnn_a3c,A3C Policy Distilled from Full DQN,blocking_rate,80,0.32130000000000003,0.11950295090189868,0.2951127612706104,0.34748723872938964
gnn_cnn_a3c,A3C Policy Distilled from Full DQN,mean_reward,80,0.593311333273982,0.12810261227169367,0.565239610658771,0.621383055889193
gnn_cnn_a3c,A3C Policy Distilled from Full DQN,mean_selected_energy_increment,80,572.0623473336857,41.76691643543067,562.9097682263885,581.2149264409829
gnn_cnn_a3c,A3C Policy Distilled from Full DQN,mean_selected_fragmentation_after,80,0.31377862635432785,0.03799622204181779,0.3054523370877072,0.3221049156209485
gnn_cnn_a3c,A3C Policy Distilled from Full DQN,mean_selected_qot_margin_norm,80,0.25911584209461835,0.010171445894058578,0.2568869257386579,0.2613447584505788
gnn_cnn_a3c,A3C Policy Distilled from Full DQN,mean_decision_latency_ms,80,5.125291610416025,0.8156875543483955,4.946546194063516,5.304037026768534
gnn_cnn_a3c,A3C Policy Distilled from Full DQN,p95_decision_latency_ms,80,8.835748385172337,0.5510055048873591,8.715003980211675,8.956492790133
gnn_cnn_a3c,A3C Policy Distilled from Full DQN,mean_selected_topn_index,80,1.6680068806939041,0.28995288610417735,1.604468153060987,1.7315456083268213
gnn_cnn_a3c,A3C Policy Distilled from Full DQN,p95_selected_topn_index,80,7.0625,1.1062967075171521,6.82007204515333,7.30492795484667
gnn_cnn_dqn,GNN-CNN Full DQN Ranker,accepted,80,510.9125,88.00017171300853,491.62861213376976,530.1963878662302
gnn_cnn_dqn,GNN-CNN Full DQN Ranker,blocking_rate,80,0.3187833333333333,0.11733356228401139,0.2930714828450263,0.3444951838216403
gnn_cnn_dqn,GNN-CNN Full DQN Ranker,mean_reward,80,0.5956818332705136,0.12558742847417292,0.5681612746061245,0.6232023919349027
gnn_cnn_dqn,GNN-CNN Full DQN Ranker,mean_selected_energy_increment,80,572.5784921191068,42.05528619594844,563.3627212018666,581.794263036347
gnn_cnn_dqn,GNN-CNN Full DQN Ranker,mean_selected_fragmentation_after,80,0.31089182100968915,0.03517651333332749,0.30318342765726386,0.31860021436211444
gnn_cnn_dqn,GNN-CNN Full DQN Ranker,mean_selected_qot_margin_norm,80,0.2639089299061925,0.009287305368576753,0.26187375938526275,0.2659441004271223
gnn_cnn_dqn,GNN-CNN Full DQN Ranker,mean_decision_latency_ms,80,4.9720043797433995,0.7948001043662267,4.797836127678492,5.146172631808307
gnn_cnn_dqn,GNN-CNN Full DQN Ranker,p95_decision_latency_ms,80,8.589153494685888,0.5667503453809581,8.464958849428644,8.713348139943133
gnn_cnn_dqn,GNN-CNN Full DQN Ranker,mean_selected_topn_index,80,1.7351583835019837,0.2602512118613146,1.678128322209021,1.7921884447949463
gnn_cnn_dqn,GNN-CNN Full DQN Ranker,p95_selected_topn_index,80,7.3125,1.0860886739097029,7.07450032576344,7.55049967423656
ksp-bm-ff,KSP-BM-FF,accepted,80,504.6125,86.86997321765124,485.5762777988111,523.6487222011889
ksp-bm-ff,KSP-BM-FF,blocking_rate,80,0.3271833333333333,0.11582663095686832,0.3018017037317481,0.35256496293491857
ksp-bm-ff,KSP-BM-FF,mean_reward,80,0.5873375566005234,0.12445677104666064,0.5600647641691183,0.6146103490319286
ksp-bm-ff,KSP-BM-FF,mean_selected_energy_increment,80,562.8038140363185,38.62875314358092,554.3389152806382,571.2687127919988
ksp-bm-ff,KSP-BM-FF,mean_selected_fragmentation_after,80,0.37847545905447816,0.031577597802653234,0.37155571283969585,0.38539520526926047
ksp-bm-ff,KSP-BM-FF,mean_selected_qot_margin_norm,80,0.2630776994461491,0.008580666527049375,0.26119737798876863,0.2649580209035296
ksp-bm-ff,KSP-BM-FF,mean_decision_latency_ms,80,1.8029990811288978,0.2317262630273488,1.7522198248513854,1.8537783374064103
ksp-bm-ff,KSP-BM-FF,p95_decision_latency_ms,80,3.955126357031985,0.5661699919403123,3.8310588873296783,4.079193826734291
ksp-bm-ff,KSP-BM-FF,mean_selected_topn_index,80,2.52903333972867,0.4616537600957801,2.427868999143701,2.6301976803136395
ksp-bm-ff,KSP-BM-FF,p95_selected_topn_index,80,9.6,1.579937508778613,9.253780928356596,9.946219071643403
ksp-ff,KSP-FF,accepted,80,504.6125,86.86997321765124,485.5762777988111,523.6487222011889
ksp-ff,KSP-FF,blocking_rate,80,0.3271833333333333,0.11582663095686832,0.3018017037317481,0.35256496293491857
ksp-ff,KSP-FF,mean_reward,80,0.5873375566005234,0.12445677104666064,0.5600647641691183,0.6146103490319286
ksp-ff,KSP-FF,mean_selected_energy_increment,80,562.8038140363185,38.62875314358092,554.3389152806382,571.2687127919988
ksp-ff,KSP-FF,mean_selected_fragmentation_after,80,0.37847545905447816,0.031577597802653234,0.37155571283969585,0.38539520526926047
ksp-ff,KSP-FF,mean_selected_qot_margin_norm,80,0.2630776994461491,0.008580666527049375,0.26119737798876863,0.2649580209035296
ksp-ff,KSP-FF,mean_decision_latency_ms,80,1.8039401153568178,0.23133801783636648,1.7532459370579248,1.8546342936557108
ksp-ff,KSP-FF,p95_decision_latency_ms,80,3.9581221432308666,0.5701700468948094,3.833178122838945,4.083066163622788
ksp-ff,KSP-FF,mean_selected_topn_index,80,2.52903333972867,0.4616537600957801,2.427868999143701,2.6301976803136395
ksp-ff,KSP-FF,p95_selected_topn_index,80,9.6,1.579937508778613,9.253780928356596,9.946219071643403
lightgbm_candidate_ranker_old10,LightGBM-override ranker,accepted,80,511.225,88.29423981670676,491.8766716193212,530.5733283806788
lightgbm_candidate_ranker_old10,LightGBM-override ranker,blocking_rate,80,0.31836666666666663,0.11772565308894235,0.2925688954924282,0.34416443784090506
lightgbm_candidate_ranker_old10,LightGBM-override ranker,mean_reward,80,0.5957551332817468,0.12581828595955444,0.5681839857403759,0.6233262808231177
lightgbm_candidate_ranker_old10,LightGBM-override ranker,mean_selected_energy_increment,80,571.8022465673109,41.76948931979604,562.6491036518685,580.9553894827534
lightgbm_candidate_ranker_old10,LightGBM-override ranker,mean_selected_fragmentation_after,80,0.3299151370456991,0.041370073625481486,0.3208495199533458,0.33898075413805234
lightgbm_candidate_ranker_old10,LightGBM-override ranker,mean_selected_qot_margin_norm,80,0.26826606592415747,0.009512994111588222,0.26618143917685694,0.270350692671458
lightgbm_candidate_ranker_old10,LightGBM-override ranker,mean_decision_latency_ms,80,2.0613795015184833,0.2829834099546348,1.9993680276844843,2.123390975352482
lightgbm_candidate_ranker_old10,LightGBM-override ranker,p95_decision_latency_ms,80,4.366434907133224,0.5559518290591107,4.244606591098055,4.488263223168392
lightgbm_candidate_ranker_old10,LightGBM-override ranker,mean_selected_topn_index,80,2.0690007521391727,0.2962054430000876,2.0040918725655166,2.1339096317128288
lightgbm_candidate_ranker_old10,LightGBM-override ranker,p95_selected_topn_index,80,8.125,1.1066542117137572,7.882493703592116,8.367506296407884
top32_xlron_stabilized_ppo,XLRON Counterfactual Ranker,accepted,80,510.4,88.68727592722873,490.9655437841687,529.8344562158312
top32_xlron_stabilized_ppo,XLRON Counterfactual Ranker,blocking_rate,80,0.3194666666666667,0.11824970123630497,0.29355405837889165,0.3453792749544417
top32_xlron_stabilized_ppo,XLRON Counterfactual Ranker,mean_reward,80,0.5950218932712052,0.1265545057485925,0.5672894144553566,0.6227543720870539
top32_xlron_stabilized_ppo,XLRON Counterfactual Ranker,mean_selected_energy_increment,80,571.0729543061137,42.1628983510277,561.8336018356651,580.3123067765623
top32_xlron_stabilized_ppo,XLRON Counterfactual Ranker,mean_selected_fragmentation_after,80,0.315176302151291,0.03504235623124699,0.30749730727005753,0.32285529703252447
top32_xlron_stabilized_ppo,XLRON Counterfactual Ranker,mean_selected_qot_margin_norm,80,0.2651852731426489,0.008805609924194728,0.26325565879001195,0.26711488749528584
top32_xlron_stabilized_ppo,XLRON Counterfactual Ranker,mean_decision_latency_ms,80,4.738371430275341,0.7355580795733464,4.57718515927747,4.899557701273211
top32_xlron_stabilized_ppo,XLRON Counterfactual Ranker,p95_decision_latency_ms,80,8.281963315967005,0.5603099592481869,8.159179982546794,8.404746649387215
top32_xlron_stabilized_ppo,XLRON Counterfactual Ranker,mean_selected_topn_index,80,1.7470531800738311,0.25303630085835965,1.6916041558633819,1.8025022042842804
top32_xlron_stabilized_ppo,XLRON Counterfactual Ranker,p95_selected_topn_index,80,7.35,1.1262124268448412,7.1032078207340525,7.596792179265947
torch_dqn_candidate_ranker_distill_old10,Calibrated DQN-Override ranker,accepted,80,511.825,90.38746062355489,492.0179743857503,531.6320256142498
torch_dqn_candidate_ranker_distill_old10,Calibrated DQN-Override ranker,blocking_rate,80,0.31756666666666666,0.12051661416473985,0.29115729918100036,0.34397603415233297
torch_dqn_candidate_ranker_distill_old10,Calibrated DQN-Override ranker,mean_reward,80,0.597144666612183,0.1292476640076927,0.5688220234720661,0.6254673097522999
torch_dqn_candidate_ranker_distill_old10,Calibrated DQN-Override ranker,mean_selected_energy_increment,80,571.7380592464579,41.311183000977366,562.6853471311882,580.7907713617275
torch_dqn_candidate_ranker_distill_old10,Calibrated DQN-Override ranker,mean_selected_fragmentation_after,80,0.30914294448790114,0.03710838302789351,0.30101121152332516,0.3172746774524771
torch_dqn_candidate_ranker_distill_old10,Calibrated DQN-Override ranker,mean_selected_qot_margin_norm,80,0.2658178491443703,0.009768780748702414,0.2636771706788541,0.2679585276098865
torch_dqn_candidate_ranker_distill_old10,Calibrated DQN-Override ranker,mean_decision_latency_ms,80,2.30711606280723,0.341600011243735,2.2322596598741726,2.381972465740287
torch_dqn_candidate_ranker_distill_old10,Calibrated DQN-Override ranker,p95_decision_latency_ms,80,4.79359909921186,0.5604111791690163,4.670793584998531,4.916404613425188
torch_dqn_candidate_ranker_distill_old10,Calibrated DQN-Override ranker,mean_selected_topn_index,80,1.9358673005516416,0.2825790479808706,1.8739444364420064,1.9977901646612768
torch_dqn_candidate_ranker_distill_old10,Calibrated DQN-Override ranker,p95_selected_topn_index,80,7.8625,1.2901157832447503,7.579790914162297,8.145209085837703
